category,name,value,date,prev_year,change_from_prev_year,source,detail1
Jobs,Total Jobs,"397,831",June 2015,,3.3%,California Employment Development Department,monthly_jobs_june2015.csv
Jobs,Unemployment Rate,4.2%,Jan 2016,,-1.0%,California Employment Development Department,TBD
Jobs,Annual Patents,9367,2015,9513,-1.5%,,TBD
Talent,Labor Force,"552,300",Dec 2015,537500,2.8%,"US Census Bureau, American Community Survey 1-year Estimates",TBD
Talent,Population with Bachelor's Degree ,40%,2014,,TBD,"US Census Bureau, American Community Survey 1-year Estimates",TBD
Talent,Population Born Outside US,40%,2014,,TBD,"US Census Bureau, American Community Survey 1-year Estimates",TBD
Real Estate,Office Vacancy,10.7%,Q4 2015,,TBD,CBRE MarketView,TBD
Real Estate,R&D Vacancy,10.3%,Q4 2015,,TBD,CBRE MarketView,TBD
Real Estate,Industrial Vacancy,2.3%,Q4 2015,,TBD,CBRE MarketView,TBD
