Month,Total Employment,,,,,,,
Sep-14,"1,015,300",,,,,,,
Oct-14,"1,024,000",,,,,,,
Nov-14,"1,028,100",,,,,,,
Dec-14,"1,030,500",,,,,,,
Jan-15,"1,019,000",,,,,,,
Feb-15,"1,025,100",,,,,,,
Mar-15,"1,030,200",,,,,,,
Apr-15,"1,036,700",,,,,,,
May-15,"1,044,300",,,,,,,
Jun-15,"1,050,600",,,,,,,
Jul-15,"1,050,900",,,,,,,
Aug-15,"1,055,800",,,,,,,
Sep-15,"1,055,100",,,,,,,
Oct-15,"1,065,600",,,,,,,
Nov-15,"1,071,700",,,,,,,
Dec-15,"1,073,100",,,,,,,
Jan-16,"1,057,600",,,,,,,
,,,,,,,,
Employment for the San Jose-Sunnyvale-Santa Clara MSA,,,,,,,,
,,,,,,,,
Source: California Employment Development Department,,,,,,,,
"As of January 22, 2016",,,,,,,,
Based on March 2015 Benchmark,,,,,,,,
